object_type,page_number,x0,x1,y0,y1,doctop,top,bottom,width,height,adv,contents,evenodd,fill,fontname,linewidth,non_stroking_color,points,pts,size,stroke,stroking_color,text,title,upright,uri
char,2,245.35459999999995,253.96459999999996,688.68,703.68,88.32000000000005,88.32000000000005,103.32000000000005,8.610000000000014,15.0,0.5740000000000001,,,,SFVHUL+AvenirLTStd-Heavy,,[1],,,15.0,,[1],n,,1,
char,2,38.4276,42.5436,675.104,681.104,110.89599999999996,110.89599999999996,116.89599999999996,4.116,6.0,0.686,,,,SFVHUL+AvenirLTStd-Book,,"[0, 0, 0, 1]",,,6.0,,"[0, 0, 0, 0.15]",A,,1,
char,2,42.5436,45.4356,675.104,681.104,110.89599999999996,110.89599999999996,116.89599999999996,2.892000000000003,6.0,0.482,,,,SFVHUL+AvenirLTStd-Book,,"[0, 0, 0, 1]",,,6.0,,"[0, 0, 0, 0.15]",c,,1,
char,2,45.4356,48.327600000000004,675.104,681.104,110.89599999999996,110.89599999999996,116.89599999999996,2.892000000000003,6.0,0.482,,,,SFVHUL+AvenirLTStd-Book,,"[0, 0, 0, 1]",,,6.0,,"[0, 0, 0, 0.15]",c,,1,
char,2,48.3276,51.8856,675.104,681.104,110.89599999999996,110.89599999999996,116.89599999999996,3.558,6.0,0.593,,,,SFVHUL+AvenirLTStd-Book,,"[0, 0, 0, 1]",,,6.0,,"[0, 0, 0, 0.15]",o,,1,
char,2,51.8856,55.221599999999995,675.104,681.104,110.89599999999996,110.89599999999996,116.89599999999996,3.3359999999999985,6.0,0.556,,,,SFVHUL+AvenirLTStd-Book,,"[0, 0, 0, 1]",,,6.0,,"[0, 0, 0, 0.15]",u,,1,
char,2,55.2216,58.5576,675.104,681.104,110.89599999999996,110.89599999999996,116.89599999999996,3.3359999999999985,6.0,0.556,,,,SFVHUL+AvenirLTStd-Book,,"[0, 0, 0, 1]",,,6.0,,"[0, 0, 0, 0.15]",n,,1,
char,2,58.5576,60.5496,675.104,681.104,110.89599999999996,110.89599999999996,116.89599999999996,1.9919999999999973,6.0,0.332,,,,SFVHUL+AvenirLTStd-Book,,"[0, 0, 0, 1]",,,6.0,,"[0, 0, 0, 0.15]",t,,1,
char,2,60.5496,62.2176,675.104,681.104,110.89599999999996,110.89599999999996,116.89599999999996,1.6679999999999993,6.0,0.278,,,,SFVHUL+AvenirLTStd-Book,,"[0, 0, 0, 1]",,,6.0,,"[0, 0, 0, 0.15]", ,,1,
char,2,62.217600000000004,66.88560000000001,675.104,681.104,110.89599999999996,110.89599999999996,116.89599999999996,4.668000000000006,6.0,0.778,,,,SFVHUL+AvenirLTStd-Book,,"[0, 0, 0, 1]",,,6.0,,"[0, 0, 0, 0.15]",N,,1,
char,2,66.8856,70.2216,675.104,681.104,110.89599999999996,110.89599999999996,116.89599999999996,3.3359999999999985,6.0,0.556,,,,SFVHUL+AvenirLTStd-Book,,"[0, 0, 0, 1]",,,6.0,,"[0, 0, 0, 0.15]",u,,1,
char,2,70.2216,75.33359999999999,675.104,681.104,110.89599999999996,110.89599999999996,116.89599999999996,5.111999999999995,6.0,0.852,,,,SFVHUL+AvenirLTStd-Book,,"[0, 0, 0, 1]",,,6.0,,"[0, 0, 0, 0.15]",m,,1,
char,2,75.3336,78.9996,675.104,681.104,110.89599999999996,110.89599999999996,116.89599999999996,3.665999999999997,6.0,0.611,,,,SFVHUL+AvenirLTStd-Book,,"[0, 0, 0, 1]",,,6.0,,"[0, 0, 0, 0.15]",b,,1,
char,2,78.9996,82.3356,675.104,681.104,110.89599999999996,110.89599999999996,116.89599999999996,3.3359999999999985,6.0,0.556,,,,SFVHUL+AvenirLTStd-Book,,"[0, 0, 0, 1]",,,6.0,,"[0, 0, 0, 0.15]",e,,1,
char,2,82.3356,84.3276,675.104,681.104,110.89599999999996,110.89599999999996,116.89599999999996,1.9920000000000044,6.0,0.332,,,,SFVHUL+AvenirLTStd-Book,,"[0, 0, 0, 1]",,,6.0,,"[0, 0, 0, 0.15]",r,,1,
char,2,166.9416,169.16559999999998,667.7315,675.7315,116.26850000000002,116.26850000000002,124.26850000000002,2.2239999999999895,8.0,0.278,,,,SFVHUL+AvenirLTStd-Book,,"[0, 0, 0, 0]",,,8.0,,"[0, 0, 0, 1]", ,,1,
char,2,169.0856,171.3096,667.7315,675.7315,116.26850000000002,116.26850000000002,124.26850000000002,2.2239999999999895,8.0,0.278,,,,SFVHUL+AvenirLTStd-Book,,"[0, 0, 0, 1]",,,8.0,,"[0, 0, 0, 1]", ,,1,
char,2,171.2296,177.4536,667.7315,675.7315,116.26850000000002,116.26850000000002,124.26850000000002,6.2239999999999895,8.0,0.778,,,,SFVHUL+AvenirLTStd-Book,,"[0, 0, 0, 1]",,,8.0,,"[0, 0, 0, 1]",N,,1,
char,2,177.3736,181.82160000000002,667.7315,675.7315,116.26850000000002,116.26850000000002,124.26850000000002,4.4480000000000075,8.0,0.556,,,,SFVHUL+AvenirLTStd-Book,,"[0, 0, 0, 1]",,,8.0,,"[0, 0, 0, 1]",e,,1,
char,2,181.82160000000002,187.59760000000003,667.7315,675.7315,116.26850000000002,116.26850000000002,124.26850000000002,5.7760000000000105,8.0,0.722,,,,SFVHUL+AvenirLTStd-Book,,"[0, 0, 0, 1]",,,8.0,,"[0, 0, 0, 1]",w,,1,
char,2,187.51760000000002,189.7416,667.7315,675.7315,116.26850000000002,116.26850000000002,124.26850000000002,2.2239999999999895,8.0,0.278,,,,SFVHUL+AvenirLTStd-Book,,"[0, 0, 0, 1]",,,8.0,,"[0, 0, 0, 1]", ,,1,
char,2,189.66160000000002,194.10960000000003,667.7315,675.7315,116.26850000000002,116.26850000000002,124.26850000000002,4.4480000000000075,8.0,0.556,,,,SFVHUL+AvenirLTStd-Book,,"[0, 0, 0, 1]",,,8.0,,"[0, 0, 0, 1]",F,,1,
char,2,194.02960000000002,195.9496,667.7315,675.7315,116.26850000000002,116.26850000000002,124.26850000000002,1.9199999999999875,8.0,0.24,,,,SFVHUL+AvenirLTStd-Book,,"[0, 0, 0, 1]",,,8.0,,"[0, 0, 0, 1]",i,,1,
char,2,195.86960000000002,200.75760000000002,667.7315,675.7315,116.26850000000002,116.26850000000002,124.26850000000002,4.888000000000005,8.0,0.611,,,,SFVHUL+AvenirLTStd-Book,,"[0, 0, 0, 1]",,,8.0,,"[0, 0, 0, 1]",d,,1,
char,2,200.6776,205.12560000000002,667.7315,675.7315,116.26850000000002,116.26850000000002,124.26850000000002,4.4480000000000075,8.0,0.556,,,,SFVHUL+AvenirLTStd-Book,,"[0, 0, 0, 1]",,,8.0,,"[0, 0, 0, 1]",e,,1,
char,2,205.0456,206.9656,667.7315,675.7315,116.26850000000002,116.26850000000002,124.26850000000002,1.9199999999999875,8.0,0.24,,,,SFVHUL+AvenirLTStd-Book,,"[0, 0, 0, 1]",,,8.0,,"[0, 0, 0, 1]",l,,1,
char,2,206.8856,208.8056,667.7315,675.7315,116.26850000000002,116.26850000000002,124.26850000000002,1.9199999999999875,8.0,0.24,,,,SFVHUL+AvenirLTStd-Book,,"[0, 0, 0, 1]",,,8.0,,"[0, 0, 0, 1]",i,,1,
char,2,208.72560000000001,211.38160000000002,667.7315,675.7315,116.26850000000002,116.26850000000002,124.26850000000002,2.656000000000006,8.0,0.332,,,,SFVHUL+AvenirLTStd-Book,,"[0, 0, 0, 1]",,,8.0,,"[0, 0, 0, 1]",t,,1,
char,2,211.3016,215.1576,667.7315,675.7315,116.26850000000002,116.26850000000002,124.26850000000002,3.8559999999999945,8.0,0.482,,,,SFVHUL+AvenirLTStd-Book,,"[0, 0, 0, 1]",,,8.0,,"[0, 0, 0, 1]",y,,1,
char,2,215.07760000000002,217.3016,667.7315,675.7315,116.26850000000002,116.26850000000002,124.26850000000002,2.2239999999999895,8.0,0.278,,,,SFVHUL+AvenirLTStd-Book,,"[0, 0, 0, 1]",,,8.0,,"[0, 0, 0, 1]", ,,1,
char,2,217.22160000000002,221.3736,667.7315,675.7315,116.26850000000002,116.26850000000002,124.26850000000002,4.151999999999987,8.0,0.519,,,,SFVHUL+AvenirLTStd-Book,,"[0, 0, 0, 1]",,,8.0,,"[0, 0, 0, 1]",a,,1,
char,2,221.29360000000003,225.14960000000002,667.7315,675.7315,116.26850000000002,116.26850000000002,124.26850000000002,3.8559999999999945,8.0,0.482,,,,SFVHUL+AvenirLTStd-Book,,"[0, 0, 0, 1]",,,8.0,,"[0, 0, 0, 1]",c,,1,
char,2,225.06960000000004,228.92560000000003,667.7315,675.7315,116.26850000000002,116.26850000000002,124.26850000000002,3.8559999999999945,8.0,0.482,,,,SFVHUL+AvenirLTStd-Book,,"[0, 0, 0, 1]",,,8.0,,"[0, 0, 0, 1]",c,,1,
char,2,228.84560000000005,233.58960000000005,667.7315,675.7315,116.26850000000002,116.26850000000002,124.26850000000002,4.744,8.0,0.593,,,,SFVHUL+AvenirLTStd-Book,,"[0, 0, 0, 1]",,,8.0,,"[0, 0, 0, 1]",o,,1,
